Year,Name,School,Conf,Class,Pos,G,Cmp,PassingAtt,PassingPct,PassingYds,PassYds/Attempt,AdjYds/Att,PassingTD,Int,Rate,RushingAtt,RushingYds,RushingAvg,RushingTD
2018,Gerry Bohanon,Baylor,Big 12,FR,QB,2,0,1,0,0,0,0,0,0,0,2,5,2.5,0
2019,Gerry Bohanon,Baylor,Big 12,FR,QB,9,17,36,47.2,187,5.2,6.3,2,0,109.2,42,272,6.5,3
2020,Gerry Bohanon,Baylor,Big 12,SO,QB,2,1,1,100,7,7,7,0,0,158.8,4,19,4.8,0
2021,Gerry Bohanon,Baylor,Big 12,JR,QB,12,173,275,62.9,2200,8,8.2,18,7,146.6,76,323,4.3,9
2019,Spencer Sanders ,Oklahoma State,Big 12,FR,QB,11,155,247,62.8,2065,8.4,7.7,16,11,145.4,139,628,4.5,2
2020,Spencer Sanders ,Oklahoma State,Big 12,SO,QB,9,155,247,62.8,2007,8.1,7.8,14,8,143.2,101,269,2.7,2
2021,Spencer Sanders ,Oklahoma State,Big 12,JR,QB,13,243,392,62,2839,7.2,6.9,20,12,133.5,146,668,4.6,6
2021,Caleb Williams,Oklahoma,Big 12,FR,QB,11,136,211,64.5,1912,9.1,10.2,21,4,169.6,79,442,5.6,6
2018,Brock Purdy ,Iowa State,Big 12,FR,QB,10,146,220,66.4,2250,10.2,10.3,16,7,169.9,100,308,3.1,5
2019,Brock Purdy ,Iowa State,Big 12,SO,QB,13,312,475,65.7,3982,8.4,8.7,27,9,151.1,93,249,2.7,8
2020,Brock Purdy ,Iowa State,Big 12,JR,QB,12,243,365,66.6,2750,7.5,7.5,19,9,142.1,87,382,4.4,5
2021,Brock Purdy ,Iowa State,Big 12,SR,QB,13,292,407,71.7,3188,7.8,7.9,19,8,149,85,238,2.8,1
2020,Garrett Greene,West Virginia,Big 12,FR,QB,2,3,4,75,24,6,6,0,0,125.4,6,40,6.7,0
2021,Garrett Greene,West Virginia,Big 12,FR,QB,10,16,26,61.5,147,5.7,5.7,0,0,109,48,297,6.2,4
2021,Tyler Shough,Texas Tech,Big 12,JR,QB,4,64,92,69.6,872,9.5,9.3,6,3,164.2,16,14,0.9,2
2020,Hudson Card,Texas,Big 12,FR,QB,2,1,3,33.3,5,1.7,1.7,0,0,47.3,4,11,2.8,0
2021,Hudson Card,Texas,Big 12,FR,QB,7,51,83,61.4,590,7.1,7.8,5,1,138.6,26,17,0.7,1
2019,Max Duggan,TCU,Big 12,FR,QB,12,181,339,53.4,2077,6.1,5.7,15,10,113.6,130,555,4.3,6
2020,Max Duggan,TCU,Big 12,SO,QB,10,146,240,60.8,1795,7.5,7.6,10,4,134.1,116,526,4.5,10
2021,Max Duggan,TCU,Big 12,JR,QB,10,145,227,63.9,2048,9,9.2,16,6,157.6,105,352,3.4,3
2020,Jalon Daniels,Kansas,Big 12,FR,QB,7,76,152,50,718,4.7,3.7,1,4,86.6,73,20,0.3,3
2021,Jalon Daniels,Kansas,Big 12,SO,QB,6,81,117,69.2,860,7.4,7.4,7,3,145.6,33,83,2.5,3
