Rk,Date,School,,Opponent,,Cmp,PassingAtt,PassingPct,PassingYds,PassingTD,Int,Rate,RushingAtt,RushingYds,RushingAvg,RushingTD,Solo,Ast,Tot,Loss,Sk
1,9/3/21,Kansas ,,South Dakota,W (17-14),17,26,65.4,163,2,0,,40,84,2.1,0,,,,,
2,9/10/21,Kansas ,,Coastal Carolina,L (22-49),15,29,51.7,238,0,0,,38,172,4.5,3,,,,,
3,9/18/21,Kansas ,,Baylor,L (7-45),8,18,44.4,57,1,0,,32,132,4.1,0,,,,,
4,9/25/21,Kansas ,,Duke,L (33-52),19,32,59.4,323,2,2,,40,207,5.2,2,,,,,
5,10/2/21,Kansas ,,Iowa State,L (7-59),11,22,50,127,0,1,,44,175,4,1,,,,,
6,10/16/21,Kansas ,,Texas Tech,L (14-41),15,28,53.6,128,2,1,,33,145,4.4,0,,,,,
7,10/23/21,Kansas ,,Oklahoma,L (23-35),17,23,73.9,246,1,0,,42,166,4,2,,,,,
8,10/30/21,Kansas ,,Oklahoma State,L (3-55),9,18,50,44,0,3,,33,99,3,0,,,,,
9,11/6/21,Kansas ,,Kansas State,L (10-35),19,29,65.5,186,1,0,,30,88,2.9,0,,,,,
10,11/13/21,Kansas ,,Texas,W (57-56),21,30,70,202,3,0,,43,218,5.1,4,,,,,
11,11/20/21,Kansas ,,TCU,L (28-31),22,30,73.3,255,2,1,,31,124,4,2,,,,,
12,11/27/21,Kansas ,,West Virginia,L (28-34),22,32,68.8,249,1,2,,27,87,3.2,1,,,,,
