Rk,Date,School,,Opponent,,Cmp,PassingAtt,PassingPct,PassingYds,PassingTD,Int,Rate,RushingAtt,RushingYds,RushingAvg,RushingTD,Solo,Ast,Tot,Loss,Sk
1,9/4/21,Oklahoma,,Tulane,,31,40,77.5,314,1,2,,32,122,3.8,3,,,,,
2,9/11/21,Oklahoma,,Western Carolina,,27,38,71.1,347,5,0,,38,277,7.3,5,,,,,
3,9/18/21,Oklahoma,,Nebraska,,24,34,70.6,214,1,0,,35,194,5.5,2,,,,,
4,9/25/21,Oklahoma,,West Virginia,,26,36,72.2,256,1,1,,28,57,2,0,,,,,
5,10/2/21,Oklahoma,,Kansas State,,23,28,82.1,261,2,1,,32,131,4.1,2,,,,,
6,10/9/21,Oklahoma,,Texas,,24,40,60,323,2,1,,41,339,8.3,4,,,,,
7,10/16/21,Oklahoma,,TCU,,18,23,78.3,295,4,0,,35,230,6.6,3,,,,,
8,10/23/21,Oklahoma,,Kansas,,15,20,75,178,2,1,,34,220,6.5,3,,,,,
9,10/30/21,Oklahoma,,Texas Tech,,28,35,80,469,7,0,,20,72,3.6,0,,,,,
10,11/13/21,Oklahoma,,Baylor,,13,24,54.2,178,0,2,,29,82,2.8,2,,,,,
11,11/20/21,Oklahoma,,Iowa State,,9,19,47.4,96,1,1,,34,209,6.1,2,,,,,
12,11/27/21,Oklahoma,,Oklahoma State,,20,39,51.3,252,3,0,,44,189,4.3,0,,,,,
13,12/29/21,Oklahoma,,Oregon*,,21,27,77.8,242,3,0,,43,322,7.5,3,,,,,
