Rk,Date,School,,Opponent,,Cmp,PassingAtt,PassingPct,PassingYds,PassingTD,Int,Rate,RushingAtt,RushingYds,RushingAvg,RushingTD,Solo,Ast,Tot,Loss,Sk
1,9/4/21,Oklahoma State,,Missouri State,W (23-16),22,40,55,315,1,1,,28,54,1.9,2,,,,,
2,9/11/21,Oklahoma State,,Tulsa,W (28-23),15,26,57.7,173,2,1,,43,140,3.3,1,,,,,
3,9/18/21,Oklahoma State,,Boise State,W (21-20),6,13,46.2,82,0,0,,57,246,4.3,3,,,,,
4,9/25/21,Oklahoma State,,Kansas State,W (31-20),22,34,64.7,344,2,0,,43,137,3.2,1,,,,,
5,10/2/21,Oklahoma State,,Baylor,W (24-14),13,23,56.5,182,1,3,,59,219,3.7,2,,,,,
6,10/16/21,Oklahoma State,,Texas,W (32-24),19,33,57.6,178,1,1,,49,220,4.5,1,,,,,
7,10/23/21,Oklahoma State,,Iowa State,L (21-24),15,24,62.5,225,3,0,,32,107,3.3,0,,,,,
8,10/30/21,Oklahoma State,,Kansas,W (55-3),20,32,62.5,243,4,0,,47,292,6.2,3,,,,,
9,11/6/21,Oklahoma State,,West Virginia,W (24-3),21,31,67.7,182,2,1,,32,103,3.2,1,,,,,
10,11/13/21,Oklahoma State,,TCU,W (63-17),17,25,68,235,1,0,,62,447,7.2,8,,,,,
11,11/20/21,Oklahoma State,,Texas Tech,W (23-0),19,39,48.7,239,1,0,,48,188,3.9,1,,,,,
12,11/27/21,Oklahoma State,,Oklahoma,W (37-33),19,30,63.3,214,1,2,,35,145,4.1,3,,,,,
13,12/4/21,Oklahoma State,,Baylor,L (16-21),32,47,68.1,263,0,4,,40,70,1.8,1,,,,,
14,1/1/22,Oklahoma State,,Notre Dame*,W (37-35),34,51,66.7,371,4,0,,44,234,5.3,0,,,,,
