Rk,Date,School,,Opponent,,Cmp,PassingAtt,PassingPct,PassingYds,PassingTD,Int,Rate,RushingAtt,RushingYds,RushingAvg,RushingTD,Solo,Ast,Tot,Loss
1,9/4/21,TCU,,Duquesne,W (45-3),18,24,75,253,2,1,,38,178,4.7,4,,,,
2,9/11/21,TCU,,California,W (34-32),17,31,54.8,234,3,1,,50,271,5.4,2,,,,
3,9/25/21,TCU,,Southern Methodist,L (34-42),16,28,57.1,276,3,0,,30,170,5.7,1,,,,
4,10/2/21,TCU,,Texas,L (27-32),20,28,71.4,182,1,0,,41,169,4.1,2,,,,
5,10/9/21,TCU,,Texas Tech,W (52-31),8,10,80,104,1,0,,47,394,8.4,5,,,,
6,10/16/21,TCU,,Oklahoma,L (31-52),20,30,66.7,346,4,0,,37,183,4.9,0,,,,
7,10/23/21,TCU,,West Virginia,L (17-29),16,26,61.5,244,1,2,,34,149,4.4,0,,,,
8,10/30/21,TCU,,Kansas State,L (12-31),18,28,64.3,184,0,0,,41,156,3.8,1,,,,
9,11/6/21,TCU,,Baylor,W (30-28),30,42,71.4,468,2,0,,32,102,3.2,1,,,,
10,11/13/21,TCU,,Oklahoma State,L (17-63),12,21,57.1,202,0,0,,32,133,4.2,1,,,,
11,11/20/21,TCU,,Kansas,W (31-28),10,16,62.5,166,0,1,,48,327,6.8,4,,,,
12,11/26/21,TCU,,Iowa State,L (14-48),15,26,57.7,216,2,1,,39,132,3.4,0,,,,
