Rk,Date,School,,Opponent,,Cmp,PassingAtt,PassingPct,PassingYds,PassingTD,Int,Rate,RushingAtt,RushingYds,RushingAvg,RushingTD,Solo,Ast,Tot,Loss
1,9/4/21,Texas,,Louisiana,W (38-18),18,26,69.2,265,3,0,,42,170,4,2,,,,
2,9/11/21,Texas,,Arkansas,L (21-40),13,23,56.5,118,0,0,,41,139,3.4,3,,,,
3,9/18/21,Texas,,Rice,W (58-0),17,21,81,193,2,1,,41,427,10.4,6,,,,
4,9/25/21,Texas,,Texas Tech,W (70-35),18,23,78.3,303,5,1,,52,336,6.5,4,,,,
5,10/2/21,Texas,,TCU,W (32-27),12,22,54.5,142,1,1,,50,273,5.5,2,,,,
6,10/9/21,Texas,,Oklahoma,L (48-55),20,34,58.8,388,5,0,,27,128,4.7,1,,,,
7,10/16/21,Texas,,Oklahoma State,L (24-32),15,27,55.6,179,1,2,,33,138,4.2,2,,,,
8,10/30/21,Texas,,Baylor,L (24-31),23,38,60.5,280,2,1,,29,102,3.5,1,,,,
9,11/6/21,Texas,,Iowa State,L (7-30),16,29,55.2,103,1,0,,35,104,3,0,,,,
10,11/13/21,Texas,,Kansas,L (56-57),33,49,67.3,410,7,2,,32,164,5.1,1,,,,
11,11/20/21,Texas,,West Virginia,L (23-31),14,30,46.7,152,1,1,,28,203,7.3,2,,,,
12,11/26/21,Texas,,Kansas State,W (22-17),18,24,75,172,1,1,,44,209,4.8,1,,,,
