Rk,Date,School,,Opponent,,Cmp,PassingAtt,PassingPct,PassingYds,PassingTD,Int,Rate,RushingAtt,RushingYds,RushingAvg,RushingTD,Solo,Ast,Tot,Loss
1,9/4/21,Texas Tech,,Houston,W (38-21),17,24,70.8,231,1,0,,28,145,5.2,3,,,,
2,9/11/21,Texas Tech,,Stephen F. Austin,W (28-22),12,22,54.5,174,1,2,,28,190,6.8,3,,,,
3,9/18/21,Texas Tech,,Florida International,W (54-21),27,37,73,407,4,0,,37,177,4.8,2,,,,
4,9/25/21,Texas Tech,,Texas,L (35-70),27,35,77.1,392,3,2,,33,128,3.9,2,,,,
5,10/2/21,Texas Tech,,West Virginia,W (23-20),23,35,65.7,266,0,1,,30,80,2.7,2,,,,
6,10/9/21,Texas Tech,,TCU,L (31-52),23,41,56.1,344,0,1,,37,214,5.8,4,,,,
7,10/16/21,Texas Tech,,Kansas,W (41-14),18,25,72,194,1,1,,41,246,6,4,,,,
8,10/23/21,Texas Tech,,Kansas State,L (24-25),10,19,52.6,148,0,1,,37,170,4.6,3,,,,
9,10/30/21,Texas Tech,,Oklahoma,L (21-52),24,34,70.6,269,2,2,,32,104,3.3,1,,,,
10,11/13/21,Texas Tech,,Iowa State,W (41-38),25,33,75.8,322,3,1,,34,207,6.1,2,,,,
11,11/20/21,Texas Tech,,Oklahoma State,L (0-23),10,32,31.3,83,0,0,,26,25,1,0,,,,
12,11/27/21,Texas Tech,,Baylor,L (24-27),15,24,62.5,262,2,0,,28,124,4.4,1,,,,
13,12/28/21,Texas Tech,,Mississippi State*,W (34-7),15,28,53.6,252,1,0,,44,260,5.9,3,,,,
