Rk,Date,School,,Opponent,,Cmp,PassingAtt,PassingPct,PassingYds,PassingTD,Int,Rate,RushingAtt,RushingYds,RushingAvg,RushingTD,Solo,Ast,Tot,Loss
1,9/4/21,West Virginia ,,Maryland,L (24-30),24,40,60,277,1,2,,21,48,2.3,2,,,,
2,9/11/21,West Virginia ,,Long Island,W (66-0),20,31,64.5,344,3,0,,55,198,3.6,5,,,,
3,9/18/21,West Virginia ,,Virginia Tech,W (27-21),15,27,55.6,193,2,1,,33,173,5.2,1,,,,
4,9/25/21,West Virginia ,,Oklahoma,L (13-16),23,34,67.6,179,0,1,,28,68,2.4,1,,,,
5,10/2/21,West Virginia ,,Texas Tech,L (20-23),26,35,74.3,330,1,0,,27,94,3.5,1,,,,
6,10/9/21,West Virginia ,,Baylor,L (20-45),24,37,64.9,272,1,1,,38,90,2.4,1,,,,
7,10/23/21,West Virginia ,,TCU,W (29-17),22,29,75.9,258,0,0,,41,229,5.6,3,,,,
8,10/30/21,West Virginia ,,Iowa State,W (38-31),30,47,63.8,370,3,2,,29,122,4.2,2,,,,
9,11/6/21,West Virginia ,,Oklahoma State,L (3-24),16,24,66.7,116,0,1,,33,17,0.5,0,,,,
10,11/13/21,West Virginia ,,Kansas State,L (17-34),27,45,60,268,2,2,,26,77,3,0,,,,
11,11/20/21,West Virginia ,,Texas,W (31-23),28,44,63.6,301,3,0,,43,158,3.7,1,,,,
12,11/27/21,West Virginia ,,Kansas,W (34-28),17,22,77.3,175,3,1,,50,261,5.2,1,,,,
13,12/28/21,West Virginia ,,Minnesota*,L (6-18),18,31,58.1,140,0,1,,27,66,2.4,1,,,,
