Rk,Date,School,,Opponent,,Cmp,PassingAtt,PassingPct,PassingYds,PassingTD,Int,Rate,RushingAtt,RushingYds,RushingAvg,RushingTD,Solo,Ast,Tot,Loss,Sk
1,8/28/21,Nebraska,@,Illinois,L,16,32,50,232,1,0,121.2,17,111,6.5,1,,,,,
2,9/4/21,Nebraska,,Fordham,W,17,23,73.9,254,1,0,181,8,33,4.1,2,,,,,
3,9/11/21,Nebraska,,Buffalo,W,13,19,68.4,242,2,0,210.1,9,112,12.4,0,,,,,
4,9/18/21,Nebraska,@,Oklahoma,L,19,25,76,289,1,1,178.3,17,34,2,1,,,,,
5,9/25/21,Nebraska,@,Michigan State,L,24,34,70.6,244,0,1,125,21,72,3.4,2,,,,,
6,10/2/21,Nebraska,,Northwestern,W,11,17,64.7,202,1,0,183.9,8,50,6.3,3,,,,,
7,10/9/21,Nebraska,,Michigan,L,18,28,64.3,291,3,1,179.8,8,38,4.8,1,,,,,
8,10/16/21,Nebraska,@,Minnesota,L,18,33,54.5,241,1,0,125.9,8,-17,-2.1,0,,,,,
9,10/30/21,Nebraska,,Purdue,L,14,29,48.3,269,2,4,121.4,10,18,1.8,1,,,,,
10,11/6/21,Nebraska,,Ohio State,L,16,31,51.6,248,1,1,123,18,51,2.8,1,,,,,
11,11/20/21,Nebraska,@,Wisconsin,L,23,35,65.7,351,1,2,148,9,23,2.6,1,,,,,
