Rk,Date,School,,Opponent,,Cmp,PassingAtt,PassingPct,PassingYds,PassingTD,Int,Rate,RushingAtt,RushingYds,RushingAvg,RushingTD,Solo,Ast,Tot,Loss,Sk
1,9/4/21,Baylor,,Texas State,W (29-20),15,24,62.5,148,0,0,,45,241,5.4,2,,,,,
2,9/11/21,Baylor,,Texas Southern,W (66-7),19,26,73.1,295,3,0,,43,419,9.7,5,,,,,
3,9/18/21,Baylor,,Kansas,W (45-7),19,24,79.2,269,2,0,,45,307,6.8,4,,,,,
4,9/25/21,Baylor,,Iowa State,W (31-29),14,19,73.7,159,2,0,,31,126,4.1,1,,,,,
5,10/2/21,Baylor,,Oklahoma State,L (14-24),13,27,48.1,173,0,0,,29,107,3.7,2,,,,,
6,10/9/21,Baylor,,West Virginia,W (45-20),20,31,64.5,354,4,0,,32,171,5.3,2,,,,,
7,10/16/21,Baylor,,Brigham Young,W (38-24),18,28,64.3,231,1,1,,47,303,6.4,4,,,,,
8,10/30/21,Baylor,,Texas,W (31-24),18,31,58.1,196,1,2,,40,234,5.9,3,,,,,
9,11/6/21,Baylor,,TCU,L (28-30),14,20,70,214,3,2,,36,179,5,1,,,,,
10,11/13/21,Baylor,,Oklahoma,W (27-14),12,21,57.1,117,1,1,,44,301,6.8,2,,,,,
11,11/20/21,Baylor,,Kansas State,W (20-10),25,35,71.4,213,1,0,,46,177,3.8,1,,,,,
12,11/27/21,Baylor,,Texas Tech,W (27-24),20,34,58.8,254,2,0,,50,180,3.6,1,,,,,
13,12/4/21,Baylor,,Oklahoma State,W (21-16),23,28,82.1,180,3,0,,33,62,1.9,0,,,,,
14,1/1/22,Baylor,,Mississippi*,W (21-7),7,17,41.2,40,1,1,,41,279,6.8,1,,,,,
,,,,,,,,,,,7,,,,,,,,,,
