Rk,Date,School,,Opponent,,Cmp,PassingAtt,PassingPct,PassingYds,PassingTD,Int,Rate,RushingAtt,RushingYds,RushingAvg,RushingTD,Solo,Ast,Tot,Loss,Sk
1,9/4/21,Kansas State,N,Stanford,W,9,14,64.3,144,0,1,136.4,11,33,3,2,0,0,0,0,0
2,9/11/21,Kansas State,,Southern Illinois,W,3,4,75,96,0,1,226.6,0,0,,0,0,0,0,0,0
3,10/2/21,Kansas State,,Oklahoma,L,29,41,70.7,320,3,0,160.4,1,-9,-9,0,1,0,1,0,0
4,10/16/21,Kansas State,,Iowa State,L,15,23,65.2,206,2,1,160.5,7,-11,-1.6,1,0,0,0,0,0
5,10/23/21,Kansas State,@,Texas Tech,W,24,30,80,296,1,0,173.9,7,-6,-0.9,0,0,0,0,0,0
6,10/30/21,Kansas State,,Texas Christian,W,13,21,61.9,242,1,1,164.9,5,18,3.6,1,0,0,0,0,0
7,11/6/21,Kansas State,@,Kansas,W,19,24,79.2,244,1,0,178.3,2,-19,-9.5,0,0,0,0,0,0
8,11/13/21,Kansas State,,West Virginia,W,14,19,73.7,138,1,0,152.1,3,12,4,0,0,0,0,0,0
9,11/20/21,Kansas State,,Baylor,L,15,29,51.7,158,0,0,97.5,7,-24,-3.4,0,0,0,0,0,0
10,1/4/22,Kansas State,N,Louisiana State*,W,21,28,75,259,3,0,188.1,5,10,2,0,0,0,0,0,0
